f1,f2,f3,f4,f5,label
0.8545226137784094,0.1512358451669642,0.6807631174041859,0.9318195961958546,0.6194601607112978,1
0.1121863970956871,0.0657160192830021,0.4171751209647583,0.2448735361865589,0.909815622027364,0
0.0059538560419253,0.404966334657702,0.3631929824106088,0.3815300071828272,0.2378827959371843,0
0.4453809226673241,0.8369425132018499,0.0799256677948844,0.4407377462097666,0.7733127706168866,0
0.128809783330267,0.3150289661883845,0.980407286141087,0.8686691339293438,0.2914273440709244,1
0.1472852953902743,0.0979392464401464,0.7404401303983269,0.6784097766589963,0.3686201965024277,1
0.0392246556303075,0.820836262254048,0.0611177015637687,0.5105761184357969,0.9778655015865088,0
0.0224041783071099,0.7863906053020786,0.5567164709583908,0.1234587907959188,0.5672293361173818,0
0.0905892363449029,0.0087527019666981,0.5526112822886501,0.7022300261529738,0.6620568576072684,1
0.4816633465616068,0.9565166021773176,0.3836307924045617,0.2298215629219787,0.9204866252329164,0
0.2849205849966373,0.952054345813532,0.2108463831387937,0.0224881917563064,0.1192775888127082,0
0.4466537763324519,0.4681058503899912,0.5566725566612422,0.8542062770891049,0.9258860997340932,1
0.6727643545676714,0.6327891967911197,0.7823822320119895,0.7084179615611482,0.1999232188121468,1
0.3074875185647412,0.4657138251445496,0.0899488013686066,0.5515527466526813,0.0770436695775187,0
0.6319660236010486,0.9454902762867852,0.4945773937629564,0.8816581197997239,0.8831194384446686,0
0.209268956240044,0.0387520184415038,0.4123948487057429,0.6407983947436586,0.5548350509792378,0
0.615943259101571,0.821333055144664,0.5259103668862836,0.1114723421169724,0.5635289451620356,0
0.3407325872837549,0.6174238803774248,0.9685384750301343,0.1096345893746275,0.9196151347283305,1
0.1118090014593391,0.5823969361521375,0.4906351683721432,0.6065797874142482,0.6217990825842435,1
0.9586656287260918,0.0223686163483707,0.9966625358447948,0.9708818317353676,0.6050008675124214,1
0.976702551625958,0.6598042648562013,0.864778109452844,0.9437778463128694,0.1392506286316062,1
0.3612218386660318,0.3964250124405184,0.3230330451880195,0.6158669291291975,0.5471639725338768,1
0.7808951690281898,0.9336417412006958,0.049752694908787,0.0473288644665537,0.042349886804807,0
0.8559340483037755,0.0531489861616993,0.5408565733384691,0.3304550034059063,0.504901743856102,0
0.4998627678936,0.7033399699155742,0.8513192204771063,0.2757229808654543,0.854753208304551,1
0.0339698481899737,0.8518839509136947,0.4723734490561256,0.0008105073603288,0.9981877929307496,1
0.4986527037444818,0.5599972378226582,0.1035986066919227,0.2393195483832479,0.6486304552923383,1
0.7047065550284729,0.2862274366296689,0.5036494887349641,0.1878693874530819,0.8121921766003483,1
0.7558669367224008,0.932102597682356,0.1140148225987274,0.4918543576257222,0.6612320322705745,0
0.3394520882517383,0.5881173691415357,0.74937240337503,0.0478629495595472,0.2289485682635569,1
0.1929090705465592,0.3868452334547334,0.6646165785847048,0.77738999082592,0.5301741877028573,1
0.5413390840535542,0.2707493892249488,0.4607951934220717,0.1709434463013961,0.8503632369306536,1
0.99064625395516,0.6428481514799468,0.7418627037683942,0.1506180823367985,0.5318963692351512,1
0.4625790213117307,0.0292792381442184,0.2610888970975867,0.8951291597026644,0.6468589277441412,0
0.2011532751843262,0.3594580141423015,0.3855668091372154,0.2568703272667779,0.7611502917307617,0
0.2436039803345417,0.774539013029148,0.6711073922785671,0.2639883099917788,0.0201296359057143,0
0.4676189611383586,0.2763303836191845,0.680827218754773,0.8863400872543381,0.8891903256006344,0
0.5170522090864426,0.9817832981616132,0.726140127871713,0.2617956666339561,0.6110910295470896,1
0.0580596921381415,0.2780710510059609,0.40447659165965,0.8798368427568501,0.7954449540155566,1
0.0014807896266243,0.6512313675556867,0.1526164818858683,0.9560464874764234,0.7123514206488059,0
0.4910534498717526,0.8868958268067811,0.1762675195619775,0.5781597803122133,0.9082380451118188,0
0.0744955831287602,0.2224458401770237,0.3437583963036806,0.9211499310589804,0.6157638816039157,0
0.2461094617084227,0.1369622730686833,0.3744042991583067,0.2209765225157247,0.2832145448638712,0
0.9317398570952696,0.9007942473883038,0.5501640455670298,0.7705764899097495,0.791553493887312,1
0.9428836522406084,0.6724589668946571,0.9534333119070124,0.8806706754832383,0.2843316692713319,1
0.9578668912538668,0.7955211912996291,0.9340767663851064,0.5666927165509309,0.6007794393586889,1
0.199169424465174,0.9189654663108152,0.8221657420815993,0.7315735914289875,0.4158259923908847,1
